kecamatan,periode,ndvi_unmasked_mean,ndvi_cropland_mean,cropland_pct
Rembang,2019Q1,0.4676995855222266,0.5349545063903751,50.751505873221056
Pancur,2019Q1,0.6229911888043488,0.6507308669369036,15.481337496922354
Lasem,2019Q1,0.42949936506392167,0.5553612468672993,16.459052860811457
Kragan,2019Q1,0.4947111074738084,0.5066309773009675,29.170556633757567
Sluke,2019Q1,0.43458220374932505,0.5144497279799018,9.12217467688561
Pamotan,2019Q1,0.6556367551311368,0.6430836521583464,36.56497268033711
Sulang,2019Q1,0.5990553997238699,0.574199797679585,40.142089477030915
Sarang,2019Q1,0.5587810523148414,0.5553051168129243,49.28458162386916
Sedan,2019Q1,0.5720532152079395,0.5016808588719839,26.368444325462082
Kaliori,2019Q1,0.4521929632481211,0.5831177928758203,57.65315120181934
Gunem,2019Q1,0.6167889198240893,0.5843950998499221,24.57658219889265
Sale,2019Q1,0.6081758039207904,0.5126528580131132,15.059284300707068
Sumber,2019Q1,0.5943929367327652,0.5878185172185056,49.12904702586943
Bulu,2019Q1,0.6974608537330649,0.631952012537689,17.451105549217562
Rembang,2019Q2,0.4661145410996118,0.4885664637178224,50.751505873221056
Pancur,2019Q2,0.6027726015514341,0.5021264344952501,15.481337496922354
Lasem,2019Q2,0.5428221635332358,0.4660014004049169,16.459052860811457
Kragan,2019Q2,0.5956051736383453,0.5239322114611639,29.170556633757567
Sluke,2019Q2,0.6477088725385237,0.5193812278265768,9.12217467688561
Pamotan,2019Q2,0.5763682744884637,0.5330904491241766,36.56497268033711
Sulang,2019Q2,0.5493758780288495,0.5004025698110417,40.142089477030915
Sarang,2019Q2,0.5352784944741602,0.4940625810763111,49.28458162386916
Sedan,2019Q2,0.5530435604156163,0.4719223230271345,26.368444325462082
Kaliori,2019Q2,0.4013630364309531,0.48474173021542644,57.65315120181934
Gunem,2019Q2,0.5605972272313311,0.47815102477191046,24.57658219889265
Sale,2019Q2,0.5931889742221745,0.4673629679589064,15.059284300707068
Sumber,2019Q2,0.5384560617877973,0.47817787475831053,49.12904702586943
Bulu,2019Q2,0.6046980970525296,0.43822232769933894,17.451105549217562
Rembang,2019Q3,0.2532361088767672,0.23630127141217364,50.751505873221056
Pancur,2019Q3,0.4571315757244508,0.30617939664459304,15.481337496922354
Lasem,2019Q3,0.4057203497624148,0.27277909690432856,16.459052860811457
Kragan,2019Q3,0.44659376159738773,0.32570589442066045,29.170556633757567
Sluke,2019Q3,0.45797624910230583,0.3198920920067292,9.12217467688561
Pamotan,2019Q3,0.35213579232606906,0.324708576155614,36.56497268033711
Sulang,2019Q3,0.3448799253757944,0.3106942784692464,40.142089477030915
Sarang,2019Q3,0.33875037309764844,0.2837428021577362,49.28458162386916
Sedan,2019Q3,0.4140959457320625,0.3335050757701088,26.368444325462082
Kaliori,2019Q3,0.20434982925963116,0.20709147687722487,57.65315120181934
Gunem,2019Q3,0.3367472216905447,0.28981990826239773,24.57658219889265
Sale,2019Q3,0.37925951308753714,0.38236319738237684,15.059284300707068
Sumber,2019Q3,0.35177225607037416,0.3186730903816535,49.12904702586943
Bulu,2019Q3,0.4213585651630298,0.3944426876617641,17.451105549217562
Rembang,2019Q4,0.2138497204473587,0.19306817162397916,50.751505873221056
Pancur,2019Q4,0.34803342442169083,0.2146361586720617,15.481337496922354
Lasem,2019Q4,0.2830107444596683,0.19905244554760573,16.459052860811457
Kragan,2019Q4,0.36847202759763303,0.2604706164673997,29.170556633757567
Sluke,2019Q4,0.39517747473375975,0.3035228033330807,9.12217467688561
Pamotan,2019Q4,0.2715082185461804,0.23974201983217416,36.56497268033711
Sulang,2019Q4,0.2547959247366768,0.21397701428519172,40.142089477030915
Sarang,2019Q4,0.22788251082817687,0.19330958223594774,49.28458162386916
Sedan,2019Q4,0.2987011154849897,0.2234790016861356,26.368444325462082
Kaliori,2019Q4,0.16577487221752069,0.1674786216723347,57.65315120181934
Gunem,2019Q4,0.2723482898045615,0.20671759372299003,24.57658219889265
Sale,2019Q4,0.33233277159615104,0.344975065348661,15.059284300707068
Sumber,2019Q4,0.25429899060463573,0.2152434130509009,49.12904702586943
Bulu,2019Q4,0.30382859376723736,0.24147022760882333,17.451105549217562
Rembang,2020Q1,0.46290226299746634,0.4903277020708116,50.751505873221056
Pancur,2020Q1,0.4034505029426747,0.3789599858048838,15.481337496922354
Lasem,2020Q1,0.2859698505441231,0.3641168701007357,16.459052860811457
Kragan,2020Q1,0.2316421670656865,0.34242311073020726,29.170556633757567
Sluke,2020Q1,0.21804000065967133,0.20564835722434494,9.12217467688561
Pamotan,2020Q1,0.585336013159708,0.5569533104816032,36.56497268033711
Sulang,2020Q1,0.5367311988005405,0.5016792532028029,40.142089477030915
Sarang,2020Q1,0.5385431460468912,0.4889495416882481,49.28458162386916
Sedan,2020Q1,0.4710907616004944,0.3874684827003638,26.368444325462082
Kaliori,2020Q1,0.4186771632458412,0.5105575665626164,57.65315120181934
Gunem,2020Q1,0.4042965103483713,0.3173256216942385,24.57658219889265
Sale,2020Q1,0.47744420672676674,0.3684178581651732,15.059284300707068
Sumber,2020Q1,0.5533606075496157,0.5545716768082957,49.12904702586943
Bulu,2020Q1,0.5628172525217819,0.4519156957031795,17.451105549217562
