kecamatan,tahun,ndvi_mean,n_quarter_ndvi,ntl_median,ntl_relative,n_quarter_ntl
Sale,2016,0.616644830581317,4,0.1915954602648604,0.49002848032757534,4
Sale,2017,0.6478988369621778,2,0.45022175440309664,0.7560865669771839,4
Sale,2018,0.5403075355301851,3,0.47410483858200125,0.6759538516949252,4
Sale,2019,0.4782392657066633,4,0.47771217392490606,0.5418019455565113,4
Sale,2020,0.5164784520829917,3,0.5790228920287029,0.6099621102222552,4
Sale,2021,0.5780986161539776,4,0.6290287382417136,0.5894876130273624,3
Sale,2022,0.6038247654321771,4,0.46590792596729164,0.37367346402523904,3
Sale,2023,0.46250114620162835,4,0.7877585736926583,0.5345837824809901,3
Sale,2024,0.537110756873434,4,0.7639818558271193,0.6145188241592592,3
Sale,2025,0.5301754076370111,4,0.7430200409586059,0.5929851915330824,3
Sale,2026,0.6072897910177417,2,1.049319612795022,0.5912537075283074,1
Sarang,2010,0.5364526627624643,2,7.0,0.9607843137254902,4
Sarang,2011,0.4783049243033568,3,6.0,0.9230769230769232,4
Sarang,2012,0.37188682635629505,3,0.0,0.0,1
Sarang,2013,0.510878334258099,3,,,0
Sarang,2014,0.5252359179372963,4,0.18315506913286314,0.4640370272744178,4
Sarang,2015,0.4240220846063301,3,0.24575652394583253,0.4556625331443833,4
Sarang,2016,0.6178974445009993,4,0.245521730773856,0.6008863162027108,4
Sarang,2017,0.5496485866508902,2,0.4756352574452485,0.770591817671115,4
Sarang,2018,0.4397650302925407,3,0.5081254895687025,0.7048961271676797,4
Sarang,2019,0.4151731076787067,4,0.5684071103911288,0.6454261560418451,4
Sarang,2020,0.4815871134057638,3,0.6514895257277478,0.6868802185860147,4
Sarang,2021,0.4766260542633252,4,0.7937938029837497,0.7417798626798536,3
Sarang,2022,0.5628449432353146,4,0.7279622862613567,0.6814394971718847,3
Sarang,2023,0.42562507612254596,4,1.0617249978287213,0.720659826850118,3
Sarang,2024,0.3837114591676697,4,0.974125326808875,0.7754771803104551,3
Sarang,2025,0.5521949634670617,4,0.9244661613052471,0.7177845149719727,3
Sarang,2026,0.5181919648282042,2,1.301263941239524,0.7332152380926279,1
Sedan,2010,0.5927727930771187,2,6.0,0.8235294117647058,4
Sedan,2011,0.5555095717847202,3,5.0,0.7692307692307693,4
Sedan,2012,0.4097759308750473,3,7.0,1.065217391304348,1
Sedan,2013,0.6059510828037838,3,,,0
Sedan,2014,0.5975825417069405,4,0.20746175740987255,0.5291225704247463,4
Sedan,2015,0.4826412167771905,3,0.3328126775927414,0.6714691258337164,4
Sedan,2016,0.6425756096030479,4,0.2801276537367536,0.6975020479316315,4
Sedan,2017,0.641854783595565,2,0.5265103929440622,0.8636799465325291,4
Sedan,2018,0.5232630664334234,3,0.5779546988451185,0.8384217177361446,4
Sedan,2019,0.459473459210152,4,0.6083874272180232,0.6881015392637538,4
Sedan,2020,0.4874102941947085,3,0.7392661766127411,0.776360128973451,4
Sedan,2021,0.5566156393474556,4,0.8689974176724421,0.8153242037811883,3
Sedan,2022,0.613672762355276,4,0.6685224335679317,0.536077128447408,3
Sedan,2023,0.46800289819346824,4,1.1617380977956315,0.7881858625096251,3
Sedan,2024,0.47949086655154927,4,1.071283423114105,0.8570591356722789,3
Sedan,2025,0.47766346947206206,4,0.9467130761752173,0.7195422205070616,3
Sedan,2026,0.5592548284923664,2,1.4210296350851122,0.8006988814530012,1
Sluke,2010,0.7203962065944539,2,8.0,1.0980392156862746,4
Sluke,2011,0.585990142222436,3,6.0,0.9230769230769232,4
Sluke,2012,0.4120994575030305,3,8.0,1.2173913043478262,1
Sluke,2013,0.5668034041905684,3,,,0
Sluke,2014,0.6364474700503817,4,0.5585037556557159,1.562540250145767,4
Sluke,2015,0.49919472096162787,3,0.6199138952901079,1.2079022394093646,4
Sluke,2016,0.6332992441893982,4,0.5306577898653579,1.3316842166223926,4
Sluke,2017,0.6476514293012466,2,0.742637901062371,1.113262551503081,4
Sluke,2018,0.5376391636731178,3,0.906321994723761,1.328448505767508,4
Sluke,2019,0.48386120003097854,4,0.961183343605279,1.0911654266222315,4
Sluke,2020,0.4472380433061671,3,0.9402309690378575,0.9855692205723166,4
Sluke,2021,0.5283667563453525,4,0.9959775224356723,0.91557377709176,3
Sluke,2022,0.5797036616844057,4,1.104501766951224,1.1687523058070204,3
Sluke,2023,0.5041059982583549,4,1.3314814567565918,0.9034338584255933,3
Sluke,2024,0.5061512477710143,4,1.202811719635667,0.9646638108650026,3
Sluke,2025,0.6364045925099152,4,1.1404714575205892,0.883090231016026,3
Sluke,2026,0.642375629843277,2,1.535958761269619,0.8654572936002565,1
Sulang,2010,0.5721154648069698,2,7.0,0.9607843137254902,4
Sulang,2011,0.4935184137465827,3,7.0,1.0769230769230769,4
Sulang,2012,0.4018418887265544,3,8.0,1.2173913043478262,1
Sulang,2013,0.5958713722054945,3,,,0
Sulang,2014,0.5413243263457658,4,0.3133047865040255,0.8858371708114503,4
Sulang,2015,0.4569318245249374,3,0.4222857863079016,0.8395095493466942,4
Sulang,2016,0.615782985916083,4,0.34084914841235164,0.8517082397682095,4
Sulang,2017,0.5838997457597865,2,0.5736560464797276,0.9145934119258754,4
Sulang,2018,0.44766586852745993,3,0.6570056034223836,0.8689998789738871,4
Sulang,2019,0.43702678196629763,4,0.7920054297131215,0.8876800605722208,4
Sulang,2020,0.496938793651126,3,0.867726025027769,0.9100756746469572,4
Sulang,2021,0.5077512906681815,4,0.7053333361943563,0.5976209938094638,3
Sulang,2022,0.581573502068602,4,1.0061501169043023,1.0190037405131425,3
Sulang,2023,0.44882515625449854,4,1.3400729784297694,0.9089744473516954,3
Sulang,2024,0.49271685821478167,4,1.2203225354550542,0.9631354963124807,3
Sulang,2025,0.45767009414795035,4,1.1493779406430986,0.9027401774286817,3
Sulang,2026,0.5037058518506592,2,1.5964206541512689,0.8995253867670596,1
Sumber,2010,0.5502672112183074,2,7.0,0.9607843137254902,4
Sumber,2011,0.4732088112008432,3,7.0,1.0769230769230769,4
Sumber,2012,0.39106546045046353,3,9.0,1.3695652173913044,1
Sumber,2013,0.5716391673209941,3,,,0
Sumber,2014,0.5264250332075225,4,0.34403719896430657,0.9457875392690043,4
Sumber,2015,0.45031520826847027,3,0.4775372952749935,0.964118814974821,4
Sumber,2016,0.598106746049012,4,0.359686616696142,0.8837572899322453,4
Sumber,2017,0.540056842311789,2,0.607983506959566,0.974580775404247,4
Sumber,2018,0.46520186597943525,3,0.6425752158756777,0.7444811875906021,4
Sumber,2019,0.43473006129889313,4,0.8681358543432285,0.9786322447742669,4
Sumber,2020,0.49829379253764094,3,1.014774414014894,1.0648034889673255,4
Sumber,2021,0.49730853135104536,4,1.223198594957762,1.1507511155901367,3
Sumber,2022,0.5621200627248578,4,1.01882561080692,0.9846139200104725,3
Sumber,2023,0.43143452296505436,4,1.4747217382221471,1.000262724692127,3
Sumber,2024,0.4681476674261444,4,1.289536972177065,0.9625429579111261,3
Sumber,2025,0.468825434143293,4,1.323156774702392,1.0179947040940356,3
Sumber,2026,0.47282291636138113,2,1.7360000133514404,0.97817331502002,1
